"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1229","Authenticate User","setup","2026-07-15","passed","2026-07-15","","auth\login.setup.ts","",""
"","6795","Add product to cart","chromium","2026-07-15","failed","2026-07-15","","product\addproduct.spec.ts","",""
